decade,timeline
1970,"met,   1,romantic,  3,lived,  2,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic,  6,lived,  5,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  3,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic, 15,lived,  4,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  1,lived,  2,married,-99"
1970,"met,   1,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  3,lived,  2,married,-99"
1970,"met,   1,romantic,  4,lived,  5,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic, 11,lived, 11,married,-99"
1970,"met,   2,romantic,  1,lived,  1,married,-99"
1970,"met,   2,romantic,  7,lived,  8,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   3,romantic, 38,lived, 38,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  2,lived,  3,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   5,romantic, 26,lived, 41,married,-99"
1970,"met,   1,romantic,  3,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   1,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  5,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic, 12,lived, 12,married,-99"
1970,"met,   3,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  6,lived,  5,married,-99"
1970,"met,   2,romantic, 11,lived, 11,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic, 12,lived, 13,married,-99"
1970,"met,   1,romantic, 12,lived, 12,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic, 22,lived, 22,married,-99"
1970,"met,   2,romantic, 11,lived, 11,married,-99"
1970,"met,   1,romantic,  2,lived,  3,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic, 13,lived, 13,married,-99"
1970,"met,   2,romantic, 12,lived, 12,married,-99"
1970,"met,   6,romantic, 13,lived, 14,married,-99"
1970,"met,   2,romantic,  4,lived,  5,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   1,romantic,  8,lived,  7,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   1,romantic,  7,lived,  6,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  7,lived,  6,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 12,lived, 12,married,-99"
1970,"met,   2,romantic, 13,lived, 13,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  1,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic, 13,lived, 13,married,-99"
1970,"met,   2,romantic, 21,lived, 20,married,-99"
1970,"met,   2,romantic,  6,lived, 24,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   5,romantic, 13,lived, 48,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 16,lived, 16,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  1,lived,  1,married,-99"
1970,"met,   1,romantic,  3,lived,  2,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  1,lived,  2,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   3,romantic,  7,lived,  8,married,-99"
1970,"met,   1,romantic,  6,lived,  6,married,-99"
1970,"met,   5,romantic, 22,lived, 36,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   5,romantic, 10,lived,  6,married,-99"
1970,"met,   1,romantic,  4,lived, 13,married,-99"
1970,"met,   2,romantic,  7,lived, 12,married,-99"
1970,"met,   1,romantic,  4,lived, 13,married,-99"
1970,"met,   1,romantic,  3,lived,  9,married,-99"
1970,"met,   1,romantic,  4,lived, 15,married,-99"
1970,"met,   1,romantic,  5,lived, 23,married,-99"
1970,"met,   1,romantic,  6,lived,  2,married,-99"
1970,"met,   1,romantic, 11,lived, 16,married,-99"
1970,"met,   2,romantic,  8,lived,  4,married,-99"
1970,"met,   1,romantic,  8,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  6,married,-99"
1970,"met,   1,romantic,  6,lived,  3,married,-99"
1970,"met,   1,romantic,  6,lived,  2,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  4,lived,  6,married,-99"
1970,"met,   1,romantic,  5,lived,  8,married,-99"
1970,"met,   1,romantic,  6,lived,  4,married,-99"
1970,"met,   2,romantic,  7,lived,  6,married,-99"
1970,"met,   1,romantic,  1,lived,  8,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  1,lived, 10,married,-99"
1970,"met,   1,romantic,  2,lived, 13,married,-99"
1970,"met,   1,romantic,  6,lived, 20,married,-99"
1970,"met,   1,romantic,  5,lived, 19,married,-99"
1970,"met,   1,romantic,  8,lived, 18,married,-99"
1970,"met,   1,romantic,  3,lived, 14,married,-99"
1970,"met,   1,romantic,  2,lived, 20,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  6,lived, 18,married,-99"
1970,"met,   1,romantic,  3,lived, 19,married,-99"
1970,"met,   2,romantic,  6,lived, 16,married,-99"
1970,"met,   1,romantic,  7,lived, 17,married,-99"
1970,"met,   1,romantic,  7,lived,  4,married,-99"
1970,"met,   1,romantic,  4,lived,  3,married,-99"
1970,"met,   1,romantic,  4,lived,  1,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  3,lived,  4,married,-99"
1970,"met,   1,romantic,  6,lived,  2,married,-99"
1970,"met,   5,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic,  2,lived, 12,married,-99"
1970,"met,   1,romantic,  3,lived, 12,married,-99"
1970,"met,   1,romantic,  5,lived,  9,married,-99"
1970,"met,   2,romantic,  4,lived,  6,married,-99"
1970,"met,   1,romantic,  6,lived,  0,married,-99"
1970,"met,   1,romantic,  9,lived,  3,married,-99"
1970,"met,   1,romantic,  6,lived,  3,married,-99"
1970,"met,   1,romantic,  9,lived,  3,married,-99"
1970,"met,   2,romantic,  2,lived,  3,married,-99"
1970,"met,   1,romantic,  4,lived, 65,married,-99"
1970,"met,   1,romantic,  4,lived, 34,married,-99"
1970,"met,   1,romantic,  5,lived, 19,married,-99"
1970,"met,   1,romantic,  4,lived, 35,married,-99"
1970,"met,   1,romantic,  4,lived, 59,married,-99"
1970,"met,   1,romantic,  4,lived, 38,married,-99"
1970,"met,   1,romantic,  3,lived, 30,married,-99"
1970,"met,   1,romantic,  3,lived, 50,married,-99"
1970,"met,   1,romantic,  4,lived, 25,married,-99"
1970,"met,   1,romantic,  3,lived, 47,married,-99"
1970,"met,   2,romantic,  3,lived, 29,married,-99"
1970,"met,   1,romantic,  8,lived, 23,married,-99"
1970,"met,   1,romantic,  3,lived, 38,married,-99"
1970,"met,   1,romantic,  4,lived, 24,married,-99"
1970,"met,   2,romantic,  4,lived, 27,married,-99"
1970,"met,   1,romantic,  3,lived, 32,married,-99"
1970,"met,   1,romantic,  3,lived, 37,married,-99"
1970,"met,   1,romantic,  5,lived, 23,married,-99"
1970,"met,   2,romantic,  6,lived, 35,married,-99"
1970,"met,   1,romantic,  2,lived, 38,married,-99"
1970,"met,   1,romantic,  2,lived, 43,married,-99"
1970,"met,   1,romantic,  3,lived, 59,married,-99"
1970,"met,   2,romantic,  3,lived, 34,married,-99"
1970,"met,   1,romantic,  7,lived, 20,married,-99"
1970,"met,   1,romantic,  4,lived, 15,married,-99"
1970,"met,   1,romantic,  5,lived, 36,married,-99"
1970,"met,   1,romantic,  6,lived, 38,married,-99"
1970,"met,   1,romantic, 10,lived, 49,married,-99"
1970,"met,   1,romantic,  8,lived, 33,married,-99"
1970,"met,   1,romantic,  2,lived, 55,married,-99"
1970,"met,   1,romantic, 13,lived, 54,married,-99"
1970,"met,   1,romantic, 13,lived, 58,married,-99"
1970,"met,   1,romantic, 12,lived, 21,married,-99"
1970,"met,   2,romantic, 11,lived, 59,married,-99"
1970,"met,   1,romantic, 13,lived, 52,married,-99"
1970,"met,   1,romantic,  8,lived, 51,married,-99"
1970,"met,   1,romantic, 15,lived, 37,married,-99"
1970,"met,   1,romantic, 16,lived, 40,married,-99"
1970,"met,   1,romantic,  4,lived, 35,married,-99"
1970,"met,   1,romantic,  2,lived, 23,married,-99"
1970,"met,   1,romantic, 39,lived, 50,married,-99"
1970,"met,   1,romantic,  3,lived, 43,married,-99"
1970,"met,   1,romantic,  2,lived, 27,married,-99"
1970,"met,   1,romantic,  5,lived, 47,married,-99"
1970,"met,   4,romantic,  8,lived, 57,married,-99"
1970,"met,   1,romantic,  6,lived, 29,married,-99"
1970,"met,   2,romantic,  8,lived, 41,married,-99"
1970,"met,   1,romantic, 14,lived, 26,married,-99"
1970,"met,   1,romantic, 19,lived, 21,married,-99"
1970,"met,   1,romantic, 14,lived, 36,married,-99"
1970,"met,   2,romantic, 14,lived, 17,married,-99"
1970,"met,   1,romantic, 19,lived, 12,married,-99"
1970,"met,   2,romantic, 14,lived, 50,married,-99"
1970,"met,   1,romantic, 15,lived, 33,married,-99"
1970,"met,   1,romantic, 19,lived, 47,married,-99"
1970,"met,   2,romantic, 15,lived, 45,married,-99"
1970,"met,   1,romantic, 14,lived, 35,married,-99"
1970,"met,   1,romantic,  4,lived, 57,married,-99"
1970,"met,   1,romantic,  2,lived, 44,married,-99"
1970,"met,   2,romantic,  4,lived, 54,married,-99"
1970,"met,   2,romantic, 12,lived, 31,married,-99"
1970,"met,   1,romantic,  5,lived, 23,married,-99"
1970,"met,   1,romantic,  3,lived, 14,married,-99"
1970,"met,   1,romantic,  3,lived, 24,married,-99"
1970,"met,   2,romantic,  4,lived,  6,married,-99"
